Time,Amplitude,Label
0.0,0.0,Normal
0.001,0.06283143965558952,Normal
0.002,0.1256603988335261,Normal
0.003,0.18848439715408175,Normal
0.004,0.2513009544333748,Normal
0.005,0.3141075907812829,Normal
0.006,0.3769018266993454,Normal
0.007,0.439681183178649,Normal
0.008,0.5024431817976955,Normal
0.009,0.5651853448202453,Normal
0.01,0.6279051952931337,Normal
0.011,0.6906002571440578,Normal
0.012,0.7532680552793272,Normal
0.013,0.8159061156815756,Normal
0.014,0.8785119655074316,Normal
0.015,0.9410831331851431,Normal
0.016,1.003617148512149,Normal
0.017,1.0661115427525991,Normal
0.018,1.1285638487348169,Normal
0.019,1.1909716009486973,Normal
0.02,1.2533323356430426,Normal
0.021,1.315643590922825,Normal
0.022,1.3779029068463804,Normal
0.023,1.4401078255225217,Normal
0.024,1.5022558912075707,Normal
0.025,1.5643446504023086,Normal
0.026,1.626371651948836,Normal
0.027,1.6883344471273387,Normal
0.028,1.7502305897527604,Normal
0.029,1.8120576362713736,Normal
0.03,1.873813145857246,Normal
0.031,1.9354946805086024,Normal
0.032,1.9970998051440703,Normal
0.033,2.0586260876988134,Normal
0.034,2.1200710992205467,Normal
0.035,2.1814324139654255,Normal
0.036,2.242707609493812,Normal
0.037,2.303894266765906,Normal
0.038,2.3649899702372466,Normal
0.039,2.425992307954074,Normal
0.04,2.486898871648548,Normal
0.041,2.5477072568338217,Normal
0.042,2.6084150628989695,Normal
0.043,2.669019893203756,Normal
0.044,2.7295193551732515,Normal
0.045,2.789911060392293,Normal
0.046,2.850192624699761,Normal
0.047,2.910361668282718,Normal
0.048,2.970415815770349,Normal
0.049,3.030352696327739,Normal
0.05,3.090169943749474,Normal
0.051,3.1498651965530478,Normal
0.052,3.2094360980720955,Normal
0.053,3.2688802965494244,Normal
0.054,3.3281954452298663,Normal
0.055,3.3873792024529137,Normal
0.056,3.446429231745171,Normal
0.057,3.50534320191259,Normal
0.058,3.5641187871325073,Normal
0.059,3.622753667045457,Normal
0.06,3.681245526846779,Normal
0.061,3.7395920573780037,Normal
0.062,3.7977909552180105,Normal
0.063,3.8558399227739653,Normal
0.064,3.9137366683720245,Normal
0.065,3.971478906347806,Normal
0.066,4.029064357136626,Normal
0.067,4.086490747363491,Normal
0.068,4.143755809932841,Normal
0.069,4.2008572841180625,Normal
0.07,4.257792915650727,Normal
0.071,4.31456045680959,Normal
0.072,4.37115766650933,Normal
0.073,4.427582310389015,Normal
0.074,4.483832160900322,Normal
0.075,4.539904997395468,Normal
0.076,4.595798606214879,Normal
0.077,4.651510780774583,Normal
0.078,4.707039321653325,Normal
0.079,4.762382036679391,Normal
0.08,4.817536741017153,Normal
0.081,4.872501257253322,Normal
0.082,4.927273415482915,Normal
0.083,4.981851053394908,Normal
0.084,5.036232016357608,Normal
0.085,5.090414157503713,Normal
0.086,5.144395337815064,Normal
0.087,5.198173426207095,Normal
0.088,5.251746299612956,Normal
0.089,5.3051118430673405,Normal
0.09,5.358267949789966,Normal
0.091,5.411212521268758,Normal
0.092,5.463943467342691,Normal
0.093,5.516458706284302,Normal
0.094,5.568756164881879,Normal
0.095,5.620833778521305,Normal
0.096,5.672689491267565,Normal
0.097,5.724321255945909,Normal
0.098,5.775727034222676,Normal
0.099,5.826904796685762,Normal
0.1,5.877852522924732,Normal
0.101,5.9285682016105925,Normal
0.102,5.979049830575188,Normal
0.103,6.029295416890247,Normal
0.104,6.079302976946055,Normal
0.105,6.129070536529763,Normal
0.106,6.178596130903343,Normal
0.107,6.227877804881126,Normal
0.108,6.276913612907005,Normal
0.109,6.3257016191312445,Normal
0.11,6.374239897486897,Normal
0.111,6.422526531765844,Normal
0.112,6.470559615694443,Normal
0.113,6.518337253008788,Normal
0.114,6.565857557529565,Normal
0.115,6.613118653236518,Normal
0.116,6.660118674342517,Normal
0.117,6.7068557653672,Normal
0.118,6.7533280812102445,Normal
0.119,6.799533787224192,Normal
0.12,6.845471059286886,Normal
0.121,6.891138083873485,Normal
0.122,6.936533058128049,Normal
0.123,6.981654189934726,Normal
0.124,7.026499697988492,Normal
0.125,7.071067811865475,Normal
0.126,7.115356772092854,Normal
0.127,7.159364830218311,Normal
0.128,7.203090248879068,Normal
0.129,7.246531301870467,Normal
0.13,7.289686274214116,Normal
0.131,7.332553462225599,Normal
0.132,7.375131173581739,Normal
0.133,7.417417727387392,Normal
0.134,7.459411454241821,Normal
0.135,7.501110696304596,Normal
0.136,7.542513807361038,Normal
0.137,7.583619152887219,Normal
0.138,7.624425110114479,Normal
0.139,7.664930068093499,Normal
0.14,7.705132427757892,Normal
0.141,7.745030601987338,Normal
0.142,7.784623015670235,Normal
0.143,7.823908105765881,Normal
0.144,7.862884321366189,Normal
0.145,7.901550123756903,Normal
